name,id,nametype,recclass,year,reclat,reclong,GeoLocation,mass
Walters,24210,Valid,L6,1946.0,34.33333,-98.3,"(34.33333, -98.3)",28.1
Washougal,24218,Valid,Howardite,1939.0,45.58333,-122.35,"(45.58333, -122.35)",0.225
Werdama,47344,Valid,H5,2006.0,32.79732,21.78713,"(32.79732, 21.78713)",4.0
Wethersfield (1971),24250,Valid,L6,1971.0,41.7,-72.65,"(41.7, -72.65)",0.35
Wethersfield (1982),24251,Valid,L6,1982.0,41.71056,-72.67361,"(41.71056, -72.67361)",2.756
Whetstone Mountains,49514,Valid,H5,2009.0,31.96185,-110.434183,"(31.96185, -110.434183)",2.13874
Wiluna,24281,Valid,H5,1967.0,-26.59278,120.32833,"(-26.59278, 120.32833)",150.0
Witklip Farm,24321,Valid,H5,1918.0,-26.0,30.0,"(-26.0, 30.0)",0.022
Witsand Farm,24322,Valid,LL4,1932.0,-28.66667,18.91667,"(-28.66667, 18.91667)",0.066
Wolamo,24324,Valid,OC,1964.0,9.0,39.0,"(9.0, 39.0)",0.1664
Woolgorong,24334,Valid,L6,1960.0,-27.75,115.83333,"(-27.75, 115.83333)",36.0
Worden,24337,Valid,L5,1997.0,42.38467,-83.6115,"(42.38467, -83.6115)",1.551
Wuan,24340,Valid,H6,1986.0,36.75,114.25,"(36.75, 114.25)",50.0
Xi Ujimgin,24345,Valid,L/LL6-an,1980.0,44.66667,117.5,"(44.66667, 117.5)",5.9
Xingyang,24346,Valid,H6,1977.0,32.33333,114.31667,"(32.33333, 114.31667)",75.5
Yafa,24351,Valid,H5,2000.0,13.71111,45.17,"(13.71111, 45.17)",5.7
Yambo,30345,Valid,H5,1951.0,1.0,22.5,"(1.0, 22.5)",0.004
Yangchiang,30348,Valid,H5,1954.0,21.83333,111.83333,"(21.83333, 111.83333)",20.0
Yanzhuang,30350,Valid,H6,1990.0,24.56667,114.16667,"(24.56667, 114.16667)",3.5
Yardymly,30352,Valid,"Iron, IAB complex",1959.0,38.93333,48.25,"(38.93333, 48.25)",150.2
Yoshiki,30372,Valid,Stone-uncl,1928.0,34.16667,131.45,"(34.16667, 131.45)",0.0001
Yukan,30377,Valid,LL6,1931.0,28.71667,116.61667,"(28.71667, 116.61667)",4.8
Yurtuk,30378,Valid,Howardite,1936.0,47.31667,35.36667,"(47.31667, 35.36667)",1.472
Zag,30384,Valid,H3-6,1998.0,27.33333,-9.33333,"(27.33333, -9.33333)",175.0
Zagami,30386,Valid,Martian (shergottite),1962.0,11.73333,7.08333,"(11.73333, 7.08333)",18.0
Zaisan,30388,Valid,H5,1963.0,47.5,83.0,"(47.5, 83.0)",0.463
Zaoyang,30391,Valid,H5,1984.0,32.3,112.75,"(32.3, 112.75)",14.25
Zavetnoe,30395,Valid,L6,1952.0,47.13333,43.9,"(47.13333, 43.9)",0.8
Zemaitkiemis,30399,Valid,L6,1933.0,55.3,25.0,"(55.3, 25.0)",44.1
Zhaodong,30404,Valid,L4,1984.0,45.81667,125.91667,"(45.81667, 125.91667)",42.0
Zhovtnevyi,30407,Valid,H6,1938.0,47.58333,37.25,"(47.58333, 37.25)",107.0
Zhuanghe,30408,Valid,H5,1976.0,39.66667,122.98333,"(39.66667, 122.98333)",2.9
Zvonkov,30415,Valid,H6,1955.0,50.2,30.25,"(50.2, 30.25)",2.568
